iter	Passed	Remaining
819	38740	8503
820	38784	8456
821	38832	8408
822	38877	8361
823	38925	8314
824	38972	8266
825	39016	8218
826	39062	8171
827	39109	8124
828	39151	8075
829	39196	8028
830	39249	7982
831	39294	7934
832	39337	7886
833	39383	7838
834	39430	7791
835	39477	7744
836	39522	7696
837	39566	7648
838	39612	7601
839	39660	7554
840	39706	7506
841	39754	7459
842	39801	7412
843	39848	7365
844	39895	7318
845	39944	7271
846	39999	7225
847	40045	7177
848	40087	7129
849	40128	7081
850	40173	7033
851	40221	6986
852	40262	6938
853	40308	6891
854	40350	6843
855	40394	6795
856	40436	6747
857	40477	6699
858	40522	6651
859	40568	6604
860	40609	6556
861	40654	6508
862	40701	6461
863	40750	6414
864	40792	6366
865	40837	6318
866	40885	6272
867	40933	6224
868	40982	6178
869	41026	6130
870	41071	6082
871	41116	6035
872	41161	5988
873	41227	5943
874	41273	5896
875	41323	5849
876	41370	5802
877	41412	5754
878	41457	5706
879	41500	5659
880	41542	5611
881	41589	5564
882	41637	5517
883	41683	5469
884	41731	5422
885	41778	5375
886	41820	5327
887	41869	5280
888	41914	5233
889	41961	5186
890	42006	5138
891	42052	5091
892	42098	5044
893	42142	4996
894	42183	4948
895	42231	4901
896	42280	4854
897	42325	4807
898	42369	4760
899	42416	4712
900	42463	4665
901	42510	4618
902	42559	4571
903	42602	4524
904	42646	4476
905	42693	4429
906	42744	4382
907	42790	4335
908	42838	4288
909	42891	4242
910	42947	4195
911	42999	4149
912	43056	4102
913	43112	4056
914	43162	4009
915	43213	3962
916	43269	3916
917	43315	3869
918	43367	3822
919	43415	3775
920	43461	3727
921	43505	3680
922	43554	3633
923	43599	3586
924	43643	3538
925	43690	3491
926	43741	3444
927	43787	3397
928	43839	3350
929	43893	3303
930	43947	3257
931	44002	3210
932	44056	3163
933	44106	3116
934	44158	3069
935	44215	3023
936	44270	2976
937	44327	2929
938	44379	2883
939	44430	2836
940	44473	2788
941	44517	2741
942	44561	2693
943	44604	2646
944	44652	2598
945	44698	2551
946	44751	2504
947	44798	2457
948	44842	2409
949	44891	2362
950	44943	2315
951	44986	2268
952	45031	2220
953	45074	2173
954	45117	2125
955	45163	2078
956	45215	2031
957	45263	1984
958	45313	1937
959	45363	1890
960	45410	1842
961	45463	1795
962	45507	1748
963	45555	1701
964	45609	1654
965	45662	1607
966	45713	1560
967	45764	1512
968	45813	1465
969	45866	1418
970	45916	1371
971	45962	1324
972	46009	1276
973	46056	1229
974	46108	1182
975	46156	1134
976	46206	1087
977	46256	1040
978	46306	993
979	46350	945
980	46396	898
981	46446	851
982	46497	804
983	46544	756
984	46593	709
985	46649	662
986	46698	615
987	46743	567
988	46792	520
